#HI4PI cube SIN_,channel,square l, square b, angle, size
# angle: angle of east side of box compared to the line pointing towards the galactic north (measured increasing to the east) in degrees
# size: approximate length of one side of square in degrees
B03,274,86.957366,-54.90094,40,4.5
B03,370,91.002036,-49.397927,40,4.5
B03,479,80.870197,-51.939292,40,4.5
B03,480,80.870197,-51.939292,40,4.5
B03,481,80.870197,-51.939292,40,4.5
B03,482,80.870197,-51.939292,40,4.5
B03,483,80.870197,-51.939292,40,4.5
B03,484,80.870197,-51.939292,40,4.5
B03,485,80.870197,-51.939292,40,4.5
B03,486,80.870197,-51.939292,40,4.5
B03,479,86.570772,-54.362977,40,4.5
B03,480,86.570772,-54.362977,40,4.5
B03,481,86.570772,-54.362977,40,4.5
B03,482,86.570772,-54.362977,40,4.5
B03,483,86.570772,-54.362977,40,4.5
B03,484,86.570772,-54.362977,40,4.5
B03,485,86.570772,-54.362977,40,4.5
B03,486,86.570772,-54.362977,40,4.5
B03,549,75.051439,-55.287611,40,2.5
B04,484,113.4436,-59.328238,20,4.5
B04,484,122.74762,-60.091822,20,4.5
B04,484,115.31215,-55.054036,20,4.5
B04,484,98.065842,-52.527305,20,4.5
B04,487,105.91983,-53.92078,15,4.5
B04,487,112.99502,-59.524669,15,4.5
B04,488,112.99502,-59.524669,15,4.5
B04,488,103.80328,-58.513459,15,4.5
B04,488,121.59792,-59.899041,15,4.5
B04,489,115.57359,-50.352838,15,4.5
B04,489,108.79911,-49.642348,15,4.5
B05,484,123.49885,-60.02144,80,4.5
B05,485,123.49885,-60.02144,80,4.5
B05,488,123.49885,-60.02144,80,4.5
B06,479,165.87309,-51.652876,60,4.5
B06,480,165.87309,-51.652876,60,4.5
B06,481,165.87309,-51.652876,60,4.5
B06,482,165.87309,-51.652876,60,4.5
B06,544,165.87309,-51.652876,60,4.5
B06,545,165.87309,-51.652876,60,4.5
B06,546,165.87309,-51.652876,60,4.5
B06,547,165.87309,-51.652876,60,4.5
C03,448,61.140987,-43.531009,0,2
C05,370,90.329692,-49.841448,20,4.5
C05,486,94.223415,-45.45409,20,4.5
C05,487,94.223415,-45.45409,20,4.5
C05,488,107.88321,-49.100017,20,4.5
C05,489,107.88321,-49.100017,20,4.5
C05,490,107.88321,-49.100017,20,4.5
C05,489,114.58494,-49.968073,20,4.5
C05,639,95.827991,-35.333636,20,4.5
C06,486,132.81075,-39.95428,0,4.5
C06,487,132.81075,-39.95428,0,4.5
C06,488,132.81075,-39.95428,0,4.5
C06,489,132.81075,-39.95428,0,4.5
C06,490,132.81075,-39.95428,0,4.5
C06,489,116.07286,-49.213908,80,4.5
C06,490,116.07286,-49.213908,80,4.5
C06,489,109.22308,-49.502073,0,4.5
C06,490,109.22308,-49.502073,0,4.5
C06,511,136.12107,-44.535054,0,4.5
C06,512,136.12107,-44.535054,0,4.5
C07,482,151.34417,-35.014459,70,4.5
C07,483,151.34417,-35.014459,70,4.5
C07,484,151.34417,-35.014459,70,4.5
C07,485,151.34417,-35.014459,70,4.5
C07,486,151.34417,-35.014459,70,4.5
C07,509,148.20454,-46.975824,70,4.5
C07,510,148.20454,-46.975824,70,4.5
C07,511,148.20454,-46.975824,70,4.5
C07,512,148.20454,-46.975824,70,4.5
C07,510,159.85605,-42.630382,70,4.5
C07,511,159.85605,-42.630382,70,4.5
C07,510,136.79148,-44.201374,70,4.5
C07,511,136.79148,-44.201374,70,4.5
C07,671,140.18777,-48.619551,70,4.5
C08,511,160.49994,-42.275144,50,4.5
C08,785,171.97078,-41.346341,50,4.5
C08,786,171.97078,-41.346341,50,4.5
C08,787,171.97078,-41.346341,50,4.5
C08,788,171.97078,-41.346341,50,4.5
C08,789,171.97078,-41.346341,50,4.5
C08,790,171.97078,-41.346341,50,4.5
G01,501,16.487883,42.872613,60,4.5
G01,502,16.487883,42.872613,60,4.5
G01,503,16.487883,42.872613,60,4.5
G01,504,16.487883,42.872613,60,4.5
G01,505,16.487883,42.872613,60,4.5
G01,506,16.487883,42.872613,60,4.5
G01,507,16.487883,42.872613,60,4.5
G01,508,16.487883,42.872613,60,4.5
G01,509,16.487883,42.872613,60,4.5
G01,500,19.635316,38.92777,60,4.5
G01,501,19.635316,38.92777,60,4.5
G01,502,19.635316,38.92777,60,4.5
G01,503,19.635316,38.92777,60,4.5
G01,504,19.635316,38.92777,60,4.5
G01,505,19.635316,38.92777,60,4.5
G01,506,19.635316,38.92777,60,4.5
G01,507,19.635316,38.92777,60,4.5
G01,508,19.635316,38.92777,60,4.5
G01,509,19.635316,38.92777,60,4.5
G01,504,20.315994,49.053559,60,4.5
G01,505,20.315994,49.053559,60,4.5
G01,506,20.315994,49.053559,60,4.5
G01,507,20.315994,49.053559,60,4.5
G01,508,20.315994,49.053559,60,4.5
G01,509,20.315994,49.053559,60,4.5
G02,682,41.821633,36.102992,60,4.5
G02,683,41.821633,36.102992,60,4.5
G02,684,41.821633,36.102992,60,4.5
G02,683,46.93441,40.074605,60,4.5
G02,684,46.93441,40.074605,60,4.5
G03,494,53.544421,39.619157,80,4.5
G03,495,53.544421,39.619157,80,4.5
G03,494,53.544421,39.619157,80,4.5
G03,496,53.544421,39.619157,80,4.5
G03,497,53.544421,39.619157,80,4.5
G03,498,53.544421,39.619157,80,4.5
G03,499,53.544421,39.619157,80,4.5
G03,500,53.544421,39.619157,80,4.5
G03,501,53.544421,39.619157,80,4.5
G03,502,53.544421,39.619157,80,4.5
G03,503,53.544421,39.619157,80,4.5
G03,504,53.544421,39.619157,80,4.5
G03,505,53.544421,39.619157,80,4.5
G03,495,56.153176,30.608744,80,4.5
G03,496,56.153176,30.608744,80,4.5
G03,497,56.153176,30.608744,80,4.5
G03,682,46.924137,40.279419,80,4.5
G03,683,46.924137,40.279419,80,4.5
G03,684,46.924137,40.279419,80,4.5
G03,683,42.704403,35.56299,80,4.5
G03,684,42.704403,35.56299,80,4.5
G04,492,73.219241,35.422866,90,4.5
G04,493,73.219241,35.422866,90,4.5
G04,494,73.219241,35.422866,90,4.5
G04,495,73.219241,35.422866,90,4.5
G04,496,73.219241,35.422866,90,4.5
G04,497,73.219241,35.422866,90,4.5
G04,498,73.219241,35.422866,90,4.5
G04,499,73.219241,35.422866,90,4.5
G04,500,73.219241,35.422866,90,4.5
G04,499,73.76693,45.310489,10,4.5
G04,500,73.76693,45.310489,10,4.5
G04,501,73.76693,45.310489,10,4.5
G04,502,73.76693,45.310489,10,4.5
G04,503,73.76693,45.310489,10,4.5
G04,504,73.76693,45.310489,10,4.5
G04,505,73.76693,45.310489,10,4.5
G04,506,73.76693,45.310489,10,4.5
G04,507,73.76693,45.310489,10,4.5
G04,508,73.76693,45.310489,10,4.5
G04,509,73.76693,45.310489,10,4.5
G04,510,73.76693,45.310489,10,4.5
G05,502,105.57918,37.817246,20,4.5
G05,503,105.57918,37.817246,20,4.5
G05,504,105.57918,37.817246,20,4.5
G05,505,105.57918,37.817246,20,4.5
G05,506,105.57918,37.817246,20,4.5
G06,484,131.11711,38.495998,30,4.5
G06,485,131.11711,38.495998,30,4.5
G06,486,131.11711,38.495998,30,4.5
G06,487,131.11711,38.495998,30,4.5
G06,488,131.11711,38.495998,30,4.5
G06,489,131.11711,38.495998,30,4.5
G06,490,131.11711,38.495998,30,4.5
G06,491,131.11711,38.495998,30,4.5
